item,insamplesI,pop,pop2,popMORE,popK,x_coord,y_coord,village,municipality,race_1st,common_name,in_or_ex,regenerations,farmer,seedlot,pch,cobs
50,L39-9,MORE39ex,EXMORE39,MORE39,K17,-98.72088889,18.83102778,Hueyapan,Tetela_del_Volcan,pepitilla,criollo,exsitu,1,4,same,4,6
51,L44-1,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
52,L44-10,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
53,L44-2,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
54,L44-3,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
55,L44-4,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
56,L44-5,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
57,L44-6,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
58,L44-7,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
59,L44-8,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
60,L44-9,MORE44ex,EXMORE44,MORE44,K22,-98.90808333,18.99836111,Totolapan,Totolapan,ancho,ancho,exsitu,2,5,same,5,20
61,L45-1,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
62,L45-10,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
63,L45-2,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
64,L45-3,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
65,L45-4,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
66,L45-5,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
67,L45-6,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
68,L45-7,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
69,L45-8,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
70,L45-9,MORE45ex,EXMORE45,MORE45,K23,-98.93108333,18.97016667,Tepetlixpita,Totolapan,ancho,ancho,exsitu,1,6,different,6,20
71,L46-1,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
72,L46-10,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
73,L46-2,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
74,L46-3,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
75,L46-4,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
76,L46-5,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
77,L46-6,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
78,L46-7,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
79,L46-8,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
80,L46-9,MORE46ex,EXMORE46,MORE46,K24,-98.92836111,18.96875,Tepetlixpita,Totolapan,ancho,ancho,exsitu,2,7,same,7,20
81,L47-1,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
82,L47-10,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
83,L47-2,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
84,L47-3,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
85,L47-4,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
86,L47-5,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
87,L47-6,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
88,L47-7,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
89,L47-8,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
90,L47-9,MORE47ex,EXMORE47,MORE47,K25,-98.93761111,19.01033333,Nepopualco,Totolapan,ancho,ancho,exsitu,1,8,same,8,16
91,L49-1,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
92,L49-10,MORE49ex,EXMORE49,MORE49,K26,-98.95563889,18.99827778,Nepopualco,Totolapan,ancho,ancho,exsitu,1,9,different,9,22
